z [m],qc [MPa],fs [MPa],u2 [MPa],ID,Location ID,Blowcount [Blows/m],Normalised ENTRHU [-],Normalised hammer energy [-],Number of blows,Diameter [m],Bottom wall thickness [mm],Pile penetration [m]
16.0,42.05147101449276,0.4428847826086956,0.1457643025362319,DE__16_0,DE,96.0,0.3060583333333333,0.4080833333333333,630.0,2.48,50.0,30.0
16.5,46.97047272727274,0.5149090909090912,0.169125,DE__16_5,DE,90.0,0.3064666666666667,0.408625,670.0,2.48,50.0,30.0
17.0,47.74040909090913,0.6052090909090895,0.17425,DE__17_0,DE,84.0,0.306875,0.4091666666666667,710.0,2.48,50.0,30.0
17.5,34.87371018998274,0.5438742659758206,0.179375,DE__17_5,DE,92.0,0.3085,0.4113333333333333,757.5,2.48,50.0,30.0
18.0,28.01154545454546,0.412018181818182,0.1845,DE__18_0,DE,100.0,0.310125,0.4135,805.0,2.48,50.0,30.0
18.5,25.14176363636368,0.4413454545454538,0.189625,DE__18_5,DE,94.0,0.325625,0.4341666666666666,852.0,2.48,50.0,30.0
19.0,35.51935355383534,0.3370412385643915,0.1855901980999297,DE__19_0,DE,88.0,0.341125,0.4548333333333333,899.0,2.48,50.0,30.0
19.5,31.57508895144266,0.2575549612948629,0.1519024781843773,DE__19_5,DE,88.0,0.3530291666666666,0.4707083333333333,944.0,2.48,50.0,30.0
20.0,27.63082434904997,0.1780686840253344,0.1182147582688249,DE__20_0,DE,88.0,0.3649333333333333,0.4865833333333333,989.0,2.48,50.0,30.0
20.5,35.97426666666667,0.2802,0.1854333333333333,DE__20_5,DE,88.0,0.3616833333333333,0.4824583333333333,1044.0,2.48,50.0,30.0
21.0,38.93887142857141,0.4041857142857145,0.1677000000000001,DE__21_0,DE,88.0,0.3584333333333333,0.4783333333333333,1099.0,2.48,50.0,30.0
21.5,40.588975,0.428825,0.2082625,DE__21_5,DE,94.0,0.3561541666666667,0.4750833333333333,1148.5,2.48,50.0,30.0
22.0,42.50505714285713,0.4474428571428572,0.2148714285714289,DE__22_0,DE,100.0,0.353875,0.4718333333333334,1198.0,2.48,50.0,30.0
22.5,42.622,0.4698,0.2139,DE__22_5,DE,102.0,0.3528125,0.4704166666666667,1249.0,2.48,50.0,30.0
23.0,34.58027307692311,0.2710567307692313,0.2145641826923077,DE__23_0,DE,104.0,0.35175,0.469,1300.0,2.48,50.0,30.0
23.5,42.6086,0.3626,0.21205,DE__23_5,DE,108.0,0.351125,0.4681666666666666,1354.5,2.48,50.0,30.0
24.0,49.23834,0.4354599999999997,0.2206899999999998,DE__24_0,DE,112.0,0.3505,0.4673333333333333,1409.0,2.48,50.0,30.0
24.5,9.940927272727397,0.4492636363636349,0.251125,DE__24_5,DE,110.0,0.36825,0.491,1462.5,2.48,50.0,30.0
25.0,31.73414000000001,0.3970600000000003,0.25625,DE__25_0,DE,108.0,0.386,0.5146666666666667,1516.0,2.48,50.0,30.0
25.5,29.89037781818183,0.3840952727272727,0.261375,DE__25_5,DE,108.0,0.4024375,0.5365833333333334,1565.5,2.48,50.0,30.0
26.0,38.9103,0.4522,0.2665,DE__26_0,DE,108.0,0.418875,0.5585,1615.0,2.48,50.0,30.0
26.5,46.15276000000001,0.6630899999999985,0.2716250000000001,DE__26_5,DE,112.0,0.4160625,0.5547500000000001,1668.5,2.48,50.0,30.0
27.0,47.01380425101213,0.7309993927125495,0.27675,DE__27_0,DE,116.0,0.41325,0.551,1722.0,2.48,50.0,30.0
27.5,47.38796666666667,0.5591999999999999,0.281875,DE__27_5,DE,110.0,0.4345916666666667,0.5794583333333334,1775.5,2.48,50.0,30.0
28.0,49.27257999999993,0.7179199999999993,0.287,DE__28_0,DE,104.0,0.4559333333333334,0.6079166666666667,1829.0,2.48,50.0,30.0
28.5,52.97734999999997,0.718612499999999,0.292125,DE__28_5,DE,104.0,0.4605583333333333,0.6140833333333333,1881.0,2.48,50.0,30.0
29.0,49.3917555555555,0.5773666666666655,0.29725,DE__29_0,DE,104.0,0.4651833333333333,0.62025,1933.0,2.48,50.0,30.0
29.5,56.57884000000001,0.6419200000000007,0.302375,DE__29_5,DE,,,,,2.48,50.0,30.0
30.0,50.15946313465784,0.614232671081678,0.3075000000000001,DE__30_0,DE,,,,,2.48,50.0,30.0
30.5,44.40750000000001,0.4488799999999999,0.312625,DE__30_5,DE,,,,,,,
31.0,55.0728,0.6107,0.31775,DE__31_0,DE,,,,,,,
31.5,51.06890874737579,0.7567217634709588,0.322875,DE__31_5,DE,,,,,,,
32.0,52.46408019594121,0.6515083275017497,0.328,DE__32_0,DE,,,,,,,
32.5,53.85925164450664,0.5462948915325406,0.333125,DE__32_5,DE,,,,,,,
33.0,65.08970000000004,0.8553222222222177,0.33825,DE__33_0,DE,,,,,,,
33.5,50.6566,0.6581,0.343375,DE__33_5,DE,,,,,,,
34.0,48.9255653846154,0.6065346153846158,0.3485,DE__34_0,DE,,,,,,,
34.5,51.48043333333342,0.5997444444444479,0.353625,DE__34_5,DE,,,,,,,
35.0,68.19782500000005,0.9266250000000019,0.35875,DE__35_0,DE,,,,,,,
35.5,79.7390967065868,0.9420541916167653,0.363875,DE__35_5,DE,,,,,,,
36.0,76.45238571428581,1.242328571428566,0.369,DE__36_0,DE,,,,,,,
36.5,51.57421000000003,0.8212000000000043,0.374125,DE__36_5,DE,,,,,,,
37.0,45.76879561403509,0.6518688596491226,0.37925,DE__37_0,DE,,,,,,,
37.5,69.28054285714288,0.7997285714285741,0.384375,DE__37_5,DE,,,,,,,
38.0,66.32841111111078,0.9771444444444465,0.3895,DE__38_0,DE,,,,,,,
38.5,64.2671246334311,0.7804087976539574,0.394625,DE__38_5,DE,,,,,,,
39.0,83.70254999999958,1.131450000000003,0.39975,DE__39_0,DE,,,,,,,
39.5,95.70530000000021,1.282937500000009,0.404875,DE__39_5,DE,,,,,,,
0.5,0.5323,0.0017,0.0084,CS__0_5,CS,,,,,2.48,50.0,27.0
1.0,1.7782,0.0078,0.019,CS__1_0,CS,,,,,2.48,50.0,27.0
1.5,7.9774,0.0449,0.016,CS__1_5,CS,,,,,2.48,50.0,27.0
2.0,12.4693,0.0874,0.0235,CS__2_0,CS,,,,,2.48,50.0,27.0
2.5,14.0537,0.1008,0.0268,CS__2_5,CS,,,,,2.48,50.0,27.0
3.0,12.95991951219512,0.1019585365853659,0.0381719512195122,CS__3_0,CS,,,,,2.48,50.0,27.0
3.5,10.1149,0.0708,0.05285,CS__3_5,CS,,,,,2.48,50.0,27.0
4.0,11.9941,0.0801,0.05815,CS__4_0,CS,8.0,0.134375,0.1791666666666667,5.0,2.48,50.0,27.0
4.5,13.6707,0.0894,0.06045,CS__4_5,CS,10.8,0.1350625,0.1800833333333333,8.1,2.48,50.0,27.0
5.0,10.4861,0.0721,0.06295,CS__5_0,CS,13.6,0.13575,0.181,11.2,2.48,50.0,27.0
5.5,7.1208,0.0493,0.06325,CS__5_5,CS,8.8,0.12975,0.173,11.6,2.48,50.0,27.0
6.0,4.909648,0.030088,0.02127600000000007,CS__6_0,CS,4.0,0.12375,0.165,12.0,2.48,50.0,27.0
6.5,7.2905,0.0423,-0.06689999999999999,CS__6_5,CS,10.0,0.1303125,0.17375,19.5,2.48,50.0,27.0
7.0,13.7781,0.0883,0.0117,CS__7_0,CS,16.0,0.136875,0.1825,27.0,2.48,50.0,27.0
7.5,17.7668,0.0974,0.0737,CS__7_5,CS,24.0,0.134375,0.1791666666666666,37.0,2.48,50.0,27.0
8.0,19.6337,0.123,0.0974,CS__8_0,CS,32.0,0.131875,0.1758333333333333,47.0,2.48,50.0,27.0
8.5,25.4961,0.1741,0.102,CS__8_5,CS,40.0,0.1275,0.17,73.0,2.48,50.0,27.0
9.0,28.85074999999999,0.1977999999999999,0.1005166666666667,CS__9_0,CS,48.0,0.123125,0.1641666666666667,99.0,2.48,50.0,27.0
9.5,33.31887499999999,0.2357166666666666,0.1072527777777778,CS__9_5,CS,54.0,0.1309375,0.1745833333333334,127.5,2.48,50.0,27.0
10.0,37.78699999999999,0.2736333333333333,0.1139888888888889,CS__10_0,CS,60.0,0.13875,0.185,156.0,2.48,50.0,27.0
10.5,46.0994,0.3714,0.115,CS__10_5,CS,62.0,0.1578125,0.2104166666666666,186.0,2.48,50.0,27.0
11.0,47.9067,0.4066,0.1032,CS__11_0,CS,64.0,0.176875,0.2358333333333333,216.0,2.48,50.0,27.0
11.5,34.5832,0.2789,0.08050000000000002,CS__11_5,CS,76.0,0.193125,0.2575,256.5,2.48,50.0,27.0
12.0,30.8654,0.1813,0.06200000000000001,CS__12_0,CS,88.0,0.209375,0.2791666666666667,297.0,2.48,50.0,27.0
12.5,31.257,0.1562,0.0907,CS__12_5,CS,88.0,0.251875,0.3358333333333333,343.0,2.48,50.0,27.0
13.0,32.58018695652174,0.173304347826087,0.1005760869565218,CS__13_0,CS,88.0,0.294375,0.3925,389.0,2.48,50.0,27.0
13.5,41.9354,0.2603,0.12315,CS__13_5,CS,82.0,0.325625,0.4341666666666666,432.0,2.48,50.0,27.0
14.0,38.4675,0.2996,0.12405,CS__14_0,CS,76.0,0.356875,0.4758333333333333,475.0,2.48,50.0,27.0
14.5,28.7355,0.2397,0.11785,CS__14_5,CS,82.0,0.354375,0.4725,518.5,2.48,50.0,27.0
15.0,30.7927,0.2474,0.10615,CS__15_0,CS,88.0,0.351875,0.4691666666666667,562.0,2.48,50.0,27.0
15.5,34.3584,0.2713,0.10975,CS__15_5,CS,88.0,0.381875,0.5091666666666667,604.5,2.48,50.0,27.0
16.0,40.32057391304348,0.2877304347826086,0.09127826086956518,CS__16_0,CS,88.0,0.411875,0.5491666666666667,647.0,2.48,50.0,27.0
16.5,40.2387,0.2434,0.1107,CS__16_5,CS,90.0,0.4153125,0.55375,690.5,2.48,50.0,27.0
17.0,45.1309,0.2414,0.06140000000000001,CS__17_0,CS,92.0,0.41875,0.5583333333333333,734.0,2.48,50.0,27.0
17.5,48.1257,0.3687,0.1338,CS__17_5,CS,90.0,0.4190625,0.5587500000000001,775.0,2.48,50.0,27.0
18.0,50.4971,0.3807,0.1238,CS__18_0,CS,88.0,0.419375,0.5591666666666667,816.0,2.48,50.0,27.0
18.5,44.8578,0.2573,0.04380000000000001,CS__18_5,CS,86.0,0.438125,0.5841666666666667,859.5,2.48,50.0,27.0
19.0,45.45973835616439,0.316413698630137,0.1123383561643835,CS__19_0,CS,84.0,0.456875,0.6091666666666666,903.0,2.48,50.0,27.0
19.5,44.26237534246575,0.2836054794520548,0.1074753424657534,CS__19_5,CS,84.0,0.465,0.62,944.5,2.48,50.0,27.0
20.0,43.06501232876712,0.2507972602739726,0.1026123287671233,CS__20_0,CS,84.0,0.473125,0.6308333333333334,986.0,2.48,50.0,27.0
20.5,41.4237,0.279,0.1604,CS__20_5,CS,88.0,0.468125,0.6241666666666668,1029.0,2.48,50.0,27.0
21.0,41.2062,0.3468,0.1882,CS__21_0,CS,92.0,0.463125,0.6175,1072.0,2.48,50.0,27.0
21.5,45.9694,0.3784,0.1698,CS__21_5,CS,92.0,0.460625,0.6141666666666667,1117.5,2.48,50.0,27.0
22.0,50.984,0.3963,0.1631,CS__22_0,CS,92.0,0.458125,0.6108333333333333,1163.0,2.48,50.0,27.0
22.5,57.6959,0.4578,0.1547,CS__22_5,CS,92.0,0.4621875,0.61625,1208.5,2.48,50.0,27.0
23.0,56.67036086956521,0.4307086956521738,0.1707282608695652,CS__23_0,CS,92.0,0.46625,0.6216666666666667,1254.0,2.48,50.0,27.0
23.5,57.0672,0.4251,0.21395,CS__23_5,CS,92.0,0.5096875,0.6795833333333334,1300.5,2.48,50.0,27.0
24.0,58.4412,0.4793,0.21135,CS__24_0,CS,92.0,0.553125,0.7375,1347.0,2.48,50.0,27.0
24.5,59.9155,0.5041,0.18875,CS__24_5,CS,88.0,0.5496875,0.7329166666666667,1390.0,2.48,50.0,27.0
25.0,62.92926296296297,0.7911111111111103,0.211364074074074,CS__25_0,CS,84.0,0.54625,0.7283333333333334,1433.0,2.48,50.0,27.0
25.5,66.4564,1.3265,0.261375,CS__25_5,CS,84.0,0.5534375,0.7379166666666668,1476.5,2.48,50.0,27.0
26.0,58.5718,0.9828,0.2665,CS__26_0,CS,84.0,0.560625,0.7475,1520.0,2.48,50.0,27.0
26.5,60.88628181818182,1.055036363636364,0.271625,CS__26_5,CS,92.0,0.5365625,0.7154166666666667,1564.0,2.48,50.0,27.0
27.0,61.4914,1.11,0.27675,CS__27_0,CS,100.0,0.5125,0.6833333333333333,1608.0,2.48,50.0,27.0
27.5,46.146,0.7057,0.281875,CS__27_5,CS,,,,,,,
28.0,44.63584399999999,0.7094439999999999,0.287,CS__28_0,CS,,,,,,,
28.5,61.7148,0.6156,0.292125,CS__28_5,CS,,,,,,,
29.0,43.1469,0.4985,0.29725,CS__29_0,CS,,,,,,,
29.5,38.250464,0.48222,0.302375,CS__29_5,CS,,,,,,,
30.0,35.90619733333333,0.44922,0.3075,CS__30_0,CS,,,,,,,
30.5,33.56193066666667,0.41622,0.312625,CS__30_5,CS,,,,,,,
31.0,32.6433,0.4138,0.31775,CS__31_0,CS,,,,,,,
31.5,33.1332,0.3785,0.322875,CS__31_5,CS,,,,,,,
32.0,28.95556666666667,0.2691666666666667,0.31684,CS__32_0,CS,,,,,,,
32.5,26.5457,0.1799,0.3012,CS__32_5,CS,,,,,,,
33.0,36.5111,0.3177,0.2978,CS__33_0,CS,,,,,,,
33.5,48.2141,0.4233,0.2847,CS__33_5,CS,,,,,,,
34.0,59.60222307692308,0.9316666666666669,0.3264753846153847,CS__34_0,CS,,,,,,,
34.5,70.4861,1.3994,0.353625,CS__34_5,CS,,,,,,,
35.0,44.4522,1.0716,0.35875,CS__35_0,CS,,,,,,,
35.5,75.77576666666671,1.424733333333334,0.363875,CS__35_5,CS,,,,,,,
36.0,69.7179,1.516,0.369,CS__36_0,CS,,,,,,,
36.5,71.4173,1.349,0.374125,CS__36_5,CS,,,,,,,
37.0,69.08186666666667,1.372499999999999,0.37925,CS__37_0,CS,,,,,,,
37.5,65.8334,1.3417,0.384375,CS__37_5,CS,,,,,,,
38.0,81.2957,1.3949,0.3895,CS__38_0,CS,,,,,,,
38.5,71.71665757575752,1.37760606060606,0.394625,CS__38_5,CS,,,,,,,
